HrRacedate,HrRaceNo,HrRaceIndex,HrFP,HrNo,HrName,HrBrandNo,HrJockey,HrGear,HrComment,HrCoRunningUrComm
2019-09-01,1,1,1,3,跑得威,C127,潘頓,B/TT,出閘俐落，居中間之前位置，走第二疊。接近六百米處時向外移出，入直路後對催策反應良好。接近一百米處時取得領先，保持佳勢，力拒對手挑戰獲勝。,
2019-09-01,1,1,2,4,帝豪寶駒,C035,莫雷拉,V-/B2/TT,出閘稍慢，受擠迫，居包尾位置，走內欄。直路彎沿欄追近，跑過五百米處後向外移出。直路初未能望空至最後一百五十米處，其後衝刺強勁，僅以短距離之差落敗。,
2019-09-01,1,1,3,7,火天大有,V406,田泰安,V,出閘一般，落後約三個馬位，走第三疊，沒有遮擋。跑過六百米處後被帶至更外疊。入直路時追近，直路初對催策反應良好。二百米處取得領先，一百米處未能再增速並被超越。保持走勢，跑獲季軍。,
2019-09-01,1,1,4,2,乘勝追擊,V369,沈拿,B,出閘普通，居中間之後位置，走第二疊。接近七百米處時處於窘境。直路彎追近，以穩勢衝刺。,
2019-09-01,1,1,5,1,金津輝煌,V400,希威森,B,與對手同步出閘，留居尾列，在有遮擋下走第三疊。中段追近，入直路時走大外疊。直路上略為追前。,
2019-09-01,1,1,6,9,醒目快駒,B107,巫顯東,H/TT,出閘一般，受催策上前，取得領先。中段帶離一個馬位，直路初保持穩勢。接近二百米處時被超越，其後逐漸轉弱。,
2019-09-01,1,1,7,5,靚籐王,B425,郭能,B,與對手同步出閘，居後列，落後四至五個馬位，走第二疊。入直路時居包尾位置。直路上略為追前，但未能構成威脅。,
2019-09-01,1,1,8,6,黃埔之星,B146,潘明輝,--,出閘迅速，受催策上前，居前列，走第二疊。直路彎落後領放馬一個馬位。直路初受擠迫，其後逐漸轉弱。,
2019-09-01,1,1,9,8,競駿飛鷹,B292,蔡明紹,B2,出閘迅速，落後三至四個馬位，走內欄。直路彎追近，直路上逐漸轉弱。,
2019-09-01,10,10,1,5,蟲草之星,B070,何澤堯,B,出閘笨拙，落後領放馬一至兩個馬位，走內疊。跑過八百米處後向外移出。直路彎追近。四百米處取得領先。直路上保持極佳走勢，勝出賽事。,
2019-09-01,10,10,10,8,美麗動力,B149,田泰安,B/TT,出閘時與他駒互相碰撞，居前列位置，走第二疊。直路彎前居相同位置。直路初未能再加速。跑過二百米處後逐漸轉弱。（見競賽事件報告。）,
2019-09-01,10,10,11,3,共創歡樂,C210,郭能,H/SR,出閘時被觸碰，早段居中間之後位置，走第三疊。接近九百米處時走第二疊。直路彎落後約三個馬位。直路上毫無表現。,
2019-09-01,10,10,12,2,中華之光,A168,蘇狄雄,P-/TT,出閘時與他駒互相碰撞，居後列，走內疊。直路彎略為追近。跑過五百米處後向外移出。直路上未能以勁勢衝刺。,
2019-09-01,10,10,13,12,大聚會,V293,希威森,CP,自外檔出閘後留後，全程居後列。從未有力一爭。（發出異常呼吸聲。）,
2019-09-01,10,10,14,4,利害了,C367,史卓豐,CP-/B1,自最外檔出閘迅速，居中間稍前位置，走第二疊。跑過五百五十米處後向外移出。直路初未能再加速，其後逐漸轉弱。（見競賽事件報告。）,
2019-09-01,10,10,2,7,全民佳知,C288,潘頓,CP/H/TT,與對手同步出閘，早段居中間位置，走第二疊。跑過一千米處後走內欄。直路彎追近。自五百五十米處起向外移出。衝刺良佳，取得亞軍。,
2019-09-01,10,10,3,1,帝豪寶寶,A050,巫顯東,B/TT,出閘笨拙，觸碰他駒。居後列，走外疊，沒有遮擋。直路彎推進。入直路時走大外疊。衝刺強勁，跑獲季軍，未能威脅首兩名馬匹。,
2019-09-01,10,10,4,10,美麗日子,B076,楊明綸,B/H,與對手同步出閘，受催策上前領放，領先一個馬位。入直路時被對手挑戰。接近三百米處時未能再加速及被超越，其後逐漸轉弱。,
2019-09-01,10,10,5,9,蒙古傳奇,B317,莫雷拉,--,與對手同步出閘，居後列，走內欄。直路彎沿欄追近。入直路後固守內疊。上前甚多，過終點時最為接近。,
2019-09-01,10,10,6,13,歡樂小子,S235,黎海榮,V,自第一檔出閘迅速，居中間之後位置，走內疊。跑過六百米處後向外移出。直路上以穩勢衝刺。,
2019-09-01,10,10,7,6,首飾大帝,V333,薛恩,B,與對手同步出閘，居中間之後位置，走第二疊。入直路時移出更外疊。直路初未能望空，望空後以穩勢衝刺。,
2019-09-01,10,10,8,14,好計,B432,蔡明紹,V/XB,出閘普通，居後列，走第二疊。跑過接近六百米處後向外移出。入直路時走大外疊，以穩勢衝刺。,
2019-09-01,10,10,9,11,鴻圖巨星,C163,陳嘉熙,H,自第十三檔出閘迅速，早段居前列位置，走外疊。自九百五十米處起走第二疊。入直路時被帶出更外疊。直路初未能再加速，其後逐漸轉弱。,
2019-09-01,2,2,1,13,明月昇輝,A324,貝力斯,PC-/H/P2,起步後收慢，走第三至第四疊。慢步速不合發揮。二百五十米處展開強勁衝刺，勝出賽事。,
2019-09-01,2,2,10,5,香江世億,A407,史卓豐,B/TT,居中間位置，走第二疊。慢步速不合發揮。未能加速。,
2019-09-01,2,2,11,9,領闖者,A399,蔡明紹,CP/TT,居後列，走內欄。慢步速不合發揮。直路上缺乏空位，走勢一般。,
2019-09-01,2,2,12,11,合作愉快,T392,梁家俊,H/TT,未能加速，沿途走第三至第四疊。二百五十米處力竭，一百米處受阻礙。,
2019-09-01,2,2,13,12,銀城福星,V088,陳嘉熙,H/XB/TT,早段受推策，但未能加速，居中間之前位置，走第二疊。二百五十米處轉弱，一百米處受阻礙。,
