RaceInfoid,RaceDate,RaceNo,RaceIndex,RaceGoing,RaceClass,RaceDistance,RaceRatingRange,RaceName,RacePrizeMoney,RaceTrack,RaceCourse,RaceSect1,RaceSect2,RaceSect3,RaceSect4,RaceSect5,RaceSect6,RaceUrComm
25000,2019-09-01,1,1,好地,第五班,1600,40-0,畢拿山讓賽,"HK$ 725,000",草地,B,,,24.8,23.35,23.68,23.65,
25001,2019-09-01,2,2,好地,第五班,1200,40-0,柏架山讓賽,"HK$ 725,000",草地,B,,,,23.57,23.03,23.39,
25002,2019-09-01,3,3,好地,第一班,1200,90+,香港特區行政長官盃（讓賽）,"HK$ 2,800,000",草地,B,,,,24.37,22.25,22.12,
25003,2019-09-01,4,4,好地,第四班,1200,60-40,馬鞍山讓賽,"HK$ 967,000",草地,B,,,,23.81,22.53,23.08,
25004,2019-09-01,5,5,好地,第四班,1400,60-40,飛鵝山讓賽,"HK$ 967,000",草地,B,,,13.76,21.98,22.65,23.66,
25005,2019-09-01,6,6,好地,第四班,1000,60-40,二東山讓賽,"HK$ 967,000",草地,B,,,,13.32,20.64,23.78,
25006,2019-09-01,7,7,好地,第三班,1200,80-60,大東山讓賽,"HK$ 1,450,000",草地,B,,,,23.79,22.01,22.67,
25007,2019-09-01,8,8,好地,第二班,1400,100-80,大帽山讓賽,"HK$ 2,100,000",草地,B,,,13.48,21.58,22.82,23.46,
25008,2019-09-01,9,9,好地,第三班,1000,80-60,鳳凰山讓賽,"HK$ 1,450,000",草地,B,,,,13.35,20.53,23.03,
25009,2019-09-01,10,10,好地,第三班,1400,80-60,蓮花山讓賽,"HK$ 1,450,000",草地,B,,,13.48,21.65,23.21,23.26,
25010,2019-09-08,1,11,好地,第五班,1200,40-0,般咸讓賽,"HK$ 725,000",全天候跑道,,,,23.98,22.6,22.94,23.26,
25011,2019-09-08,2,12,好地,第四班,1600,60-40,堅道讓賽,"HK$ 967,000",草地,C,,,25.29,23.73,23.26,22.31,
25012,2019-09-08,3,13,好地至快地,第五班,1400,40-0,荷李活讓賽,"HK$ 725,000",草地,C,,,13.54,21.7,23.42,23.27,
