HrRacedate,HrRaceNo,HrRaceIndex,HrFP,HrNo,HrName,HrBrandNo,HrJockey,HrStable,HrWeight,HrBodyWeight,HrDraw,HrMarginLen,HrPos1,HrPos2,HrPos3,HrPos4,HrPos5,HrPos6,HrTime,HrWinOdds,HrRaceResultComm
2019-09-01,1,1,1,3,跑得威,C127,潘頓,沈集成,131,1072,6,-,,,3,3,2,1,1:35.48,2.2,
2019-09-01,1,1,2,4,帝豪寶駒,C035,莫雷拉,蘇偉賢,129,1179,7,短馬頭位,,,9,8,8,2,1:35.50,4.9,
2019-09-01,1,1,3,7,火天大有,V406,田泰安,何良,121,1053,4,1/2,,,5,4,3,3,1:35.57,18,
2019-09-01,1,1,4,2,乘勝追擊,V369,沈拿,韋達,132,1076,3,1-1/4,,,4,6,6,4,1:35.68,5.7,
2019-09-01,1,1,5,1,金津輝煌,V400,希威森,苗禮德,133,1155,8,1-1/2,,,8,7,7,5,1:35.71,7,
2019-09-01,1,1,6,9,醒目快駒,B107,巫顯東,鄭俊偉,112,1085,1,1-3/4,,,1,1,1,6,1:35.77,19,
2019-09-01,1,1,7,5,靚籐王,B425,郭能,高伯新,126,1118,9,2,,,7,9,9,7,1:35.79,50,
2019-09-01,1,1,8,6,黃埔之星,B146,潘明輝,徐雨石,119,1139,5,7-1/2,,,2,2,4,8,1:36.67,14,
2019-09-01,1,1,9,8,競駿飛鷹,B292,蔡明紹,霍利時,120,1207,2,10-1/2,,,6,5,5,9,1:37.15,21,
2019-09-01,2,2,1,13,明月昇輝,A324,貝力斯,韋達,122,1062,12,-,,,,10,9,1,1:09.99,6.7,
2019-09-01,2,2,2,2,葵涌精英,C173,薛恩,高伯新,133,1111,13,2-1/2,,,,12,12,2,1:10.38,11,
2019-09-01,2,2,3,8,金錢炮,T022,何澤堯,呂健威,130,958,10,2-1/2,,,,14,14,3,1:10.39,30,
2019-09-01,2,2,4,14,印印腳,A277,莫雷拉,蘇偉賢,116,1176,9,3,,,,2,2,4,1:10.49,3.5,
2019-09-01,2,2,5,7,越跑越好,T140,潘頓,蘇保羅,131,1188,14,3-1/4,,,,13,10,5,1:10.50,7.4,
2019-09-01,2,2,6,1,百里名駒,C097,利敬國,沈集成,133,1018,5,4,,,,1,1,6,1:10.63,20,
2019-09-01,2,2,7,4,爪皇轟天,A291,郭能,霍利時,132,1101,11,4-1/2,,,,8,7,7,1:10.72,21,
2019-09-01,2,2,8,3,埼豐,A083,黃皓楠,徐雨石,129,1044,1,4-1/2,,,,3,3,8,1:10.72,39,
2019-09-01,2,2,9,10,賞心星,C251,沈拿,方嘉柏,129,1188,8,4-1/2,,,,11,13,9,1:10.72,86,
2019-09-01,2,2,10,5,香江世億,A407,史卓豐,鄭俊偉,131,1160,7,5-3/4,,,,7,8,10,1:10.90,6.5,
2019-09-01,2,2,11,9,領闖者,A399,蔡明紹,方嘉柏,130,1177,4,6-1/4,,,,9,11,11,1:10.98,13,
2019-09-01,2,2,12,11,合作愉快,T392,梁家俊,文家良,128,1130,6,6-1/4,,,,5,5,12,1:10.99,34,
2019-09-01,2,2,13,12,銀城福星,V088,陳嘉熙,丁冠豪,118,1159,3,6-1/4,,,,4,4,13,1:11.01,10,
2019-09-01,2,2,14,6,劍追聲,B445,田泰安,告東尼,131,1020,2,11,,,,6,6,14,1:11.77,24,
2019-09-01,3,3,1,5,帝豪福星,B348,潘頓,沈集成,120,1099,5,-,,,,2,2,1,1:08.74,1.6,
2019-09-01,3,3,2,2,四季旺,V410,薛恩,沈集成,132,1049,1,1-1/2,,,,6,5,2,1:08.99,8.1,
2019-09-01,3,3,3,6,旌暉,V077,潘明輝,姚本輝,115,1078,7,2-1/2,,,,5,6,3,1:09.15,50,
2019-09-01,3,3,4,7,薈力之城,B280,莫雷拉,約翰摩亞,115,1168,2,4,,,,1,1,4,1:09.40,3.9,
2019-09-01,3,3,5,1,有理共想,B180,田泰安,高伯新,133,1167,4,5,,,,3,3,5,1:09.52,8.8,
2019-09-01,3,3,6,3,勝得威,A025,杜美爾,告東尼,124,1096,3,6,,,,7,7,6,1:09.71,35,
2019-09-01,3,3,7,4,加州福星,A415,沈拿,韋達,120,1256,6,6-1/4,,,,4,4,7,1:09.73,28,
2019-09-01,4,4,1,3,加州更好,B204,杜美爾,告東尼,130,1119,11,-,,,,2,3,1,1:09.42,8.5,
