,race_no,going,race_type,plc,horse_no,horse_name,jockey_name,trainer_name,actual_wt,declared_wt,draw,lbw,running_pos,finish_time,public_odds,date,race_id,race_dist,horse_id
0,RACE_1,GOOD,RESTRICTED_RACE,1,2.0,RICH_AND_LUCKY,Z Purton,L Ho,120,1066,5,-,3 4 3 1,1:22.73,1.7,29/12/2019,284,1400,C413
1,RACE_1,GOOD,RESTRICTED_RACE,2,7.0,KING_DRAGON,S de Sousa,K L Man,120,1078,4,3/4,2 2 1 2,1:22.87,11,29/12/2019,284,1400,C437
2,RACE_1,GOOD,RESTRICTED_RACE,3,6.0,INVALUABLE,C Schofield,R Gibson,120,1297,1,1-1/2,6 6 7 3,1:22.97,6.3,29/12/2019,284,1400,D091
3,RACE_1,GOOD,RESTRICTED_RACE,4,8.0,KELMIMI_WINS,A Badel,C H Yip,120,1087,3,3-1/4,5 7 5 4,1:23.24,26,29/12/2019,284,1400,C419
4,RACE_1,GOOD,RESTRICTED_RACE,5,5.0,VICTORY_FOR_ALL,T H So,Y S Tsui,120,1022,2,5,4 3 4 5,1:23.51,147,29/12/2019,284,1400,C342
5,RACE_1,GOOD,RESTRICTED_RACE,6,3.0,LUCKY_QUALITY,C Y Ho,C Fownes,120,1090,7,5-1/4,7 5 6 6,1:23.59,3.9,29/12/2019,284,1400,D050
6,RACE_1,GOOD,RESTRICTED_RACE,7,4.0,WILLFUL,L Hewitson,Y S Tsui,120,1114,6,10,8 8 8 7,1:24.31,65,29/12/2019,284,1400,C047
7,RACE_1,GOOD,RESTRICTED_RACE,8,1.0,NOBLE_CONSORT,H W Lai,C S Shum,120,1172,8,11-1/2,1 1 2 8,1:24.55,17,29/12/2019,284,1400,C538
8,RACE_2,WET SLOW,CLASS_5,1,8.0,KEEP_WINNING,K C Leung,C W Chang,120,1126,8,-,10 10 5 1,1:40.41,9.3,29/12/2019,285,1650,B331
9,RACE_2,WET SLOW,CLASS_5,2,1.0,SUPER_RED_DRAGON,C Schofield,W Y So,133,1120,5,1-1/2,6 5 3 2,1:40.66,4.4,29/12/2019,285,1650,C191
10,RACE_2,WET SLOW,CLASS_5,3,6.0,MI_BLANCO,A Badel,P O'Sullivan,116,1123,14,2,13 12 13 3,1:40.74,14,29/12/2019,285,1650,A186
11,RACE_2,WET SLOW,CLASS_5,4,5.0,HIDDEN_SPIRIT,K Teetan,P O'Sullivan,126,1155,2,2-1/2,12 13 12 4,1:40.80,6.5,29/12/2019,285,1650,B130
12,RACE_2,WET SLOW,CLASS_5,5,7.0,SKY_GEM,R Bayliss,C Fownes,124,1182,9,3,14 14 14 5,1:40.87,38,29/12/2019,285,1650,C251
13,RACE_2,WET SLOW,CLASS_5,6,10.0,MASTER_BERNINI,S de Sousa,A T Millard,117,1045,6,3,11 9 6 6,1:40.89,4.2,29/12/2019,285,1650,A174
14,RACE_2,WET SLOW,CLASS_5,7,14.0,OUR_GREEN,T H So,C H Yip,111,1187,4,3-1/4,7 6 4 7,1:40.92,41,29/12/2019,285,1650,B448
